AGE,GENDER,COUNTRY_WORKING_IN,WFH
34,Male,United Kingdom,Always
26,Male,United States of America,Sometimes
25,N/A,United States of America,Never
39,Male,United Kingdom,Sometimes
32,male,United States of America,Never
46,Male,United Kingdom,Sometimes
52,F,United States of America,Sometimes
33,Enby,United Kingdom,Never
58,Male,United States of America,Sometimes
30,male,Canada,Never
46,Malr,Sweden,Sometimes
45,male,United States of America,Sometimes
26,f,Canada,Sometimes
22,Male,United States of America,Never
21,Male,United States of America,Sometimes
3,Male,Canada,Sometimes
34,m,United States of America,Sometimes
25,female,United States of America,Sometimes
27,Male,United States of America,Sometimes
25,Female ,United States of America,Never
33,Male,United Kingdom,Sometimes
26,Female,Canada,Always
36,Female,United States of America,Always
26,Male,United Kingdom,Never
34,Male,United States of America,Never
34,Male,United States of America,Sometimes
25,Male,United States of America,Sometimes
33,Female,United States of America,Sometimes
27,f,Canada,Sometimes
24,Female,Canada,Never
47,female,United States of America,Sometimes
37,Male,United States of America,Sometimes
35,genderqueer woman,United States of America,Sometimes
30,Male,United States of America,Always
42,male,United States of America,Never
36,Female,United States of America,Sometimes
31,male,United States of America,Always
28,female,United States of America,Always
36,Female,United States of America,Sometimes
36,Female,United States of America,Never
32,m,Canada,Sometimes
42,male,United States of America,Always
41,Female,United States of America,Never
36,Male,Sweden,Sometimes
23,Male,United States of America,Sometimes
54,Female,United States of America,Never
34,female,United States of America,Never
36,m,Netherlands,Never
27,male,United States of America,Never
32,male,United States of America,Always
21,Male,Germany,Never
44,m,United States of America,Always
33,m,United States of America,Always
38,M,United Kingdom,Sometimes
38,Male,Ireland,Sometimes
38,female,United States of America,Always
22,Female,Brazil,Always
33,mtf,United States of America,Sometimes
27,f,Canada,Never
55,female,United States of America,Sometimes
66,male,United States of America,Sometimes
25,Male,United States of America,Sometimes
22,Male,Netherlands,Never
29,male,Brazil,Sometimes
33,Male,New Zealand,Never
27,Male,Sweden,Never
44,male,United States of America,Sometimes
38,Male,Bulgaria,Sometimes
32,M,United States of America,Always
59,female,United States of America,Never
43,man,Sweden,Sometimes
55,female,Germany,Always
32,Male,United States of America,Always
41,male,United Kingdom,Never
38,f,United States of America,Always
46,Male,United States of America,Sometimes
43,Male,United Kingdom,Never
29,Female,United States of America,Always
42,male,United States of America,Always
25,female ,United States of America,Never
49,Male,Afghanistan,Never
36,Male,United States of America,Always
30,Male,United Kingdom,Always
28,Male,United States of America,Sometimes
37,m,United States of America,Sometimes
23,female,United States of America,Sometimes
37,Male,United Kingdom,Sometimes
42,m,Netherlands,Always
32,male,United States of America,Never
28,Male,Canada,Always
28,M,United Kingdom,Never
29,Male,United States of America,Never
35,Male,United States of America,Always
31,Female,United States of America,Sometimes
46,Female,United States of America,Never
19,male,United States of America,Sometimes
35,Male,Sweden,Always
31,Male,United Kingdom,Sometimes
31,Male,United States of America,Sometimes
37,m,Canada,Always
34,Female,United States of America,Sometimes
